Proba 1 - 200 Meters freestyle;200 Meters;freestyle;50 Meters
Proba 2 - 50 Meters breaststroke;50 Meters;breaststroke;50 Meters
Proba 3 - 100 Meters backstroke;100 Meters;backstroke;50 Meters
Proba 4 - 100 Meters butterfly;100 Meters;butterfly;50 Meters
Proba 5 - 200 Meters breaststroke;200 Meters;breaststroke;50 Meters
Proba 6 - 50 Meters freestyle;50 Meters;freestyle;50 Meters
Proba 7 - 200 Meters individual medley;200 Meters;individual medley;50 Meters
Proba 8 - 400 Meters freestyle;400 Meters;freestyle;50 Meters
Proba 9 - 200 Meters butterfly;200 Meters;butterfly;50 Meters
Proba 10 - 50 Meters backstroke;50 Meters;backstroke;50 Meters
Proba 11 - 100 Meters freestyle;100 Meters;freestyle;50 Meters
Proba 12 - 100 Meters breaststroke;100 Meters;breaststroke;50 Meters
Proba 13 - 50 Meters butterfly;50 Meters;butterfly;50 Meters
Proba 14 - 200 Meters backstroke;200 Meters;backstroke;50 Meters
